Robinson,Julie Anne
Bradley,Dan
Renfroe,Jeff
Pang,Danny
Pang,Oxide Chun
Silberling,Brad
Shelton,Ron
Friedberg,Rick
Talalay,Rachel
Goddard,Gary
Roberts,Johannes
McMurray,Gerard
Amirpour,Ana Lily
Blakeson,J
Madhavan
Scorsese,Martin
Nakache,Olivier
Toledano,Éric
Polanski,Roman
Kail,Thomas
Sircar,Shoojit
Forman,Milos
Ulkay,Can
Lean,David
Hirschbiegel,Oliver
Dreyer,Carl Theodor
McQueen,Steve
McCarthy,Tom
Hallström,Lasse
Penn,Sean
Sheridan,Jim
Attenborough,Richard
Akkad,Moustapha
Tarkovsky,Andrei
Wise,Robert
Davis,Garth
Hooper,Tom
Paronnaud,Vincent
Satrapi,Marjane
Muccino,Gabriele
Schnabel,Julian
Amenábar,Alejandro
Lumet,Sidney
Schaffner,Franklin J.
Hill,George Roy
Bahl,Vikas
Balki,R.
Vallée,Jean-Marc
Harvey,Anthony
Brooks,Richard
Kubrick,Stanley
Melfi,Theodore
Kobiela,Dorota
Welchman,Hugh
Warchus,Matthew
Salles,Walter
Jarre,Kevin
Marshall,Penny
Joffé,Roland
Marsh,James
Hicks,Scott
Radford,Michael
Troisi,Massimo
Bertolucci,Bernardo
Zinnemann,Fred
Haynes,Todd
Meirelles,Fernando
Ejiofor,Chiwetel
Hirani,Rajkumar
Frears,Stephen
Boyle,Danny
Miller,Bennett
Hancock,John Lee
LaGravenese,Richard
Dahan,Olivier
Rothemund,Marc
Green,Reinaldo Marcus
Miranda,Lin-Manuel
Lanthimos,Yorgos
Gracey,Michael
DuVernay,Ava
Sant,Gus Van
Dominik,Andrew
Washington,Denzel
Demme,Ted
Peirce,Kimberly
Redford,Robert
Anspaugh,David
Parker,Alan
King,Shaka
Sorkin,Aaron
Luhrmann,Baz
Falardeau,Philippe
Pohlad,Bill
Clooney,George
Paxton,Bill
Berman,Shari Springer
Pulcini,Robert
Condon,Bill
Zaillian,Steven
Lang,Walter
Nolfi,George
Franco,James
Curtis,Simon
Asante,Amma
Fletcher,Dexter
Groeningen,Felix van
Chazelle,Damien
Winterbottom,Michael
Taymor,Julie
Kalvert,Scott
Brewer,Craig
Burns,Scott Z.
Safinia,Farhad
Noer,Michael
Ponsoldt,James
Heller,Marielle
Lewin,Ben
Kent,James
Daniels,Lee
Goldwyn,Tony
O'Haver,Tommy
Brown,Matt
Gartner,James
Bogdanovich,Peter
Finley,Cory
Merchant,Stephen
Riggen,Patricia
Stone,Simon
Landesman,Peter
Chadwick,Justin
Curran,John
Teplitzky,Jonathan
Phillips,Todd
Hanson,Curtis
Taylor-Johnson,Sam
Kondracki,Larysa
Hardwicke,Catherine
Marshall,Frank
Pollack,Sydney
Hudson,Hugh
Layton,Bart
Robinson,Angela
Nichols,Jeff
Gallenberger,Florian
Fogelman,Dan
McNamara,Sean
Furman,Brad
Ephron,Nora
Noonan,Chris
Nichols,Mike
Joanou,Phil
Jarrold,Julian
Ray,Billy
McNaughton,John
Mankiewicz,Joseph L.
Edgerton,Joel
Metz,Janus
Dibb,Saul
Campion,Jane
